McKee,Ngatamariki,Te_Mihi,aniwhenua,arapuni,aratiatia,argyle_wairau,atiamuri,aviemore,benmore,clyde,coleridge,glenbrook_kilns,highbank,huntly_1_4,huntly_e3p,huntly_p40,kapuni,karapiro,kawerau_new,kinleith,manapouri,mangahao,maraetai,matahina,mokai,nap,ohaaki,ohakuri,ohau_a,ohau_b,ohau_c,paerau,patea,poihipi,rangipo,roxburgh,southdown,stratford,te_apiti,te_rapa,te_rere_hau,te_uku,tehuka,tekapo_a,tekapo_b,tokaanu,twf_12,twf_3,waikaremoana,waipapa,waipori,wairakei,waitaki,west_wind,whakamaru,whareroa,wheao_flaxy,whirinaki,white_hill,Price
22717,43334,80984,3526.1,4988,11260,0,0,17181,79011,0,18471,35834.85,10049.6158,117886,113035,0,2093,19250,50194,18353,164914,0,3980,5911,51186,67520,20084,0,49531,53032,52954,0,2237.5,0,21694,47514.5,0,147502,28433,0,16.46,4124.7154,12381.8704,0,72825,0,6366.33855,10830.2,2968.5,1000,4417.4103,70333,12337.5,24438,0,4329,2301,0,21466.519,83.51
22975,43290,81471,5084.63,23265,14600,5320,26640,72675,218493,169850,19385,42669.98,10887.3688,215597,195658,20933,7697,20060,53783,0,288588,0,50760,9358,40814,68086,20982,39770,110951,96701,95862,1089.15,3899.5,20935,21812,69487.5,0,77467,0,0,0,1933.1515,12072.6583,0,37246,0,0,0,7400,10790,16042.718,56448,17874.5,763,46260,7906,2788,0,3913.7992,83.65
23478,43131,81400,8937,28348,8340,5160,8490,74359,114076,52795,18756,44624.26,10268.9986,212759,194615,984,2566,27200,53424,11457,221046,2732,39270,9354,49274,67411,19225,15390,75563,48661,47973,1450.9,9896.5,0,32323,43917,0,215229,15991,0,328.45,4364.4364,11282.5808,0,70319,20730,1983.7948,5140.47,12241,11350,18005.0152,69768,11093.5,23639,5270,4340,2770,0,1625.1531,185.51
46449,43252,82169,4058.32,23423,24560,0,18430,49300,118859,104238,18785,45745.72,9428.2566,243680,199697,21429,7557,26240,51774,4711,220558,0,65270,10216,44387,68010,19682,14790,108801,90128,89351,2587.92,10841.5,0,29639,49476,0,233671,30800,13941.7501,0,5247.5274,11938.6895,0,38003,20256,12469.0632,,10123.5,17400,19330.8189,69546,14798,19889.5,41380,10078,2285,0,20493.0315,160.29
0,43568,81611,6972.39,26497,11770,5194,24490,76315,168981,170034,15833,30799.76,9098.7806,116347,174981,20927,6986,23710,50418,18571,367493,0,71010,9385,49523,71082,20681,36670,113307,98155,97562,0,8743,21081,24570,79908,0,0,31547,0,18035.97,15573.3518,11930.6171,0,37402,87342,15395.4689,36445.28,11549,16740,12098.0613,69645,12837,25704.5,41640,1542,3035,0,20101.2996,121.26
22884,43315,80494,5073.63,37865.5,12880,5286,26920,81961,223141,225987,19164,41108.5,11765.4978,218331,188694,20314,7740,31030,53836,15293,307486,0,79510,9379,45410,67703,20122,38700,119620,101980,101109,863.38,6260.5,20922,29601,70050.5,476,89674,40,0,0,26504.719,12882.0541,0,37200,20163,31.24445,984.75,7490,18820,14979.8317,69186,21137,1541.5,44450,8244,4977,0,1199.0482,361.96
0,43153,80915,3614.15,10761,7850,0,0,43672,134290,98543,19454,36392.58,10781.4798,54957,148163,0,6826,19720,53830,17238,221101,0,0,5934,45324,67940,20384,0,44728,50672,50289,0,3801,20999,21833,28461.5,0,0,12942,0,2928.05,3749.8885,12251.1147,0,37298,0,3655.1692,19285.08,2999.5,0,76.0563,69405,15574,15595.5,0,7422,2626,0,59.121,72.73
43849,43037,80288,6198.23,22576.5,11290,837,18210,71112,194338,166906,19147,41638.74,10282.7774,166519,190363,0,7146,19140,53434,16107,221520,732,48150,9418,36424,67562,19152,30640,104358,84530,83977,949.99,10737.5,0,43611,38553,0,218215,4535,0,1216.55,26889.1039,12337.2339,0,38102,21119,2040.7064,5691.96,9730.5,13020,22870.8096,68904,18547.5,3479.5,30040,6312,2325,0,16899.741,154.5
45661,43165,80984,10873.27,18400.5,7350,5385,18260,50259,108331,163064,18037,39442.54,10651.2672,115865,184648,0,8192,18900,53789,17818,165957,2232,42690,34394,48628,67149,19535,25080,77000,65332,65379,1007.77,3572,0,43472,51950,0,109330,20344,0,9262.53,6255.8208,11468.9907,13333,74380,86472,10133.4052,21871.65,9709,11310,3318.6961,69498,12150,24513.5,14850,7020,5913,0,5815.0268,59.55
23121,43086,80121,5064.31,22565,11250,608,17470,75571,159089,215635,14742,40783.06,10299.6726,116637,193280,20558,7577,19140,53710,15617,244309,0,11600,9319,43278,67687,19667,22520,107453,91484,90362,0,3845.5,20893,21635,59974.5,0,93584,26871,0,5051.81,30318.5021,10361.6584,0,38001,0,11236.4176,23450.64,3056.5,7070,18432.3848,68923,18509,1884.5,25520,7668,2326,0,14185.4874,146.29
