McKee,Ngatamariki,Te_Mihi,aniwhenua,arapuni,aratiatia,argyle_wairau,atiamuri,aviemore,benmore,clyde,coleridge,glenbrook_kilns,highbank,huntly_1_4,huntly_e3p,huntly_p40,kapuni,karapiro,kawerau_new,kinleith,manapouri,mangahao,maraetai,matahina,mokai,nap,ohaaki,ohakuri,ohau_a,ohau_b,ohau_c,paerau,patea,poihipi,rangipo,roxburgh,southdown,stratford,te_apiti,te_rapa,te_rere_hau,te_uku,tehuka,tekapo_a,tekapo_b,tokaanu,twf_12,twf_3,waikaremoana,waipapa,waipori,wairakei,waitaki,west_wind,whakamaru,whareroa,wheao_flaxy,whirinaki,white_hill,Price
22660,43274,81161,3541.75,15431,10050,0,9110,50583,176533,51433,13375,29997.3,9911,145312,172291,0,1970,19710,53647,17400,165267,3647,37850,9351,50385,67820,19572,0,49411,47300,47251,537.55,1920,0,21687,47504,0,167370,15365,0,2357.92,6634.69,12248,0,73031,0,4897.42,11271,3036.5,5570,8500.75,69955,11892,24438,0,3716,2500,0,10215.2,0
0,43035,80645,6120.46,5707.5,12990,0,2620,78245,160163,49894,19142,37800.28,9287.8128,91191,170614,0,6905,19080,53632,15926,126171,0,24500,9358,44277,67509,19638,0,83573,50926,50346,551.58,3112.5,0,21656,46011.5,451,115349,31859,0,8291.84,22688.5266,12283.5334,0,37902,0,10514.3753,23378.12,3329,4790,2953.0409,68858,18510.5,24525.5,0,6163,2226,0,22490.5029,0
42636,43015,80181,5464.59,17673.5,7320,80,8270,65527,211809,112416,18314,45815.05,10540.6938,242493,186753,17697,7819,19160,53830,17983,221615,0,26590,8430,46290,66986,19568,13750,53185,44324,44103,0,3371.5,0,21819,47356,0,196477,18737,0,7218.58,21079.6768,11388.0283,13384,74357,0,6518.2584,21973.77,4101,10650,4952.8047,69261,14386.5,559.5,13850,6611,2297,0,0,0
23723,43255,81425,4491.99,27290,26060,0,7090,48268,130584,167593,19419,43451.43,10778.383,117054,196303,20931,7646,19890,53760,17951,275696,0,8230,9354,41717,67503,20671,23440,99792,85247,85135,0,4686,21042,21395,69710,0,0,12398,0,3024.68,16206.2752,12197.7811,0,37249,0,1963.50505,12688.89,3027,5330,14012.1303,69274,13568.5,69,22230,8062,2526,0,12070.1314,0
23444,43365,81737,3703.06,12325,24240,0,0,75888,176160,51946,18429,44788.3,9003.53,181410,198564,0,2619,29060,50171,18809,165897,0,11640,9380,51257,67925,20562,0,74406,44111,43421,0,2539.5,0,21836,38900,0,192220,17,0,0,6146.5,12717.1,0,38003,0,168.58775,,3019.5,5130,18022.05,70053,16369.5,2371.5,13890,4340,2249,0,24409.3,0
0,43340,81633,3823.86,17627.5,10830,0,0,23705,108516,55644,17275,31003.47,10775.6488,27586,174191,0,6885,19810,53729,15595,332515,0,0,9368,46610,67570,21131,0,48952,45841,45680,2491.56,2759.5,21059,21657,29949,0,0,0,0,0,10512.2652,13534.3943,0,37148,0,0,0,3021,0,6188.3687,69391,18605.5,5561.5,0,1702,2475,0,9356.1411,0
22467,43210,81159,9903.39,28581.5,7820,5112,9140,65139,175034,149899,18444,46257.76,10051.4974,217559,192175,0,0,32360,52158,11135,306501,1586,56230,29103,48213,67381,19976,13570,45892,38323,37587,0,9444,0,32319,39132.5,0,201255,3482,0,672.24,4730.2582,11230.0009,8348,64394,83504,1098.84875,6044.45,2971,15820,12240.6784,69481,10645,25713,27750,4360,5472,0,273.4061,0
0,43210,81096,4430.55,21914.5,12830,0,0,22745,112659,108364,19177,33204.6,10889.3,40345,171034,0,7110,19780,53830,16488,276895,0,10660,9378,50250,67840,20335,0,100348,65132,64672,2284.03,4599,20878,21830,41732,0,0,0,0,1.53,10415.8,12629,0,37103,0,0.71995,984.83,2860,4780,12730.85,68828,14852.5,4606.5,1320,1408,2529,0,7520.01,0
46082,43255,82112,7943.21,23236,22630,5252,34610,51533,158392,200026,18790,43433.75,10395.9772,244859,199290,20930,7682,27390,51698,0,276873,130,87430,17220,44436,68027,19895,39210,110038,92562,91262,2457.97,7706.5,0,29633,58891,0,222448,17762,13945.9401,0,3878.6158,11929.794,0,36700,86187,5913.52115,,21169.5,17880,18171.234,69265,14858,20516.5,42930,9998,4978,0,24439.8552,0
23231,43195,81397,9710.98,39035,7760,5277,20380,50398,146843,150546,17286,40591.83,10045.0098,219564,195661,22115,1862,19410,53801,14717,305586,0,61370,9310,48217,67594,19201,36320,74653,73980,73506,4999.5,8974,0,44473,49156.5,0,267150,23514,16272.7812,6760.57,20265.9308,11248.6845,0,72866,119473,8577.0702,22857.31,17059,14890,23002.5384,69727,11183.5,25410,45840,4240,4727,0,962.6453,0
24107,43791,82308,7134.72,24993.5,26650,193,34610,81093,199919,199326,19393,30543.53,11476.3488,235802,202670,19930,7207,32010,53982,15309,247570,0,82350,9363,44143,68285,20767,40750,106666,97800,97557,1266.75,5215,21129,29826,54852,0,94258,14769,14893.2282,4613.23,0,14463.9346,0,37158,2583,7225.29225,17220.24,24042.5,24680,11374.7816,69660,21839.5,27721,44920,8101,2431,0,17220.1063,0
26376,43284,54010,5734.79,5913.5,7840,0,0,35138,111039,50524,18428,46168.98,10160.0618,223858,128500,0,2667,19780,53784,11974,221564,0,0,9397,49812,67147,19967,0,75363,48203,47585,1051.07,2960.5,0,21655,38930.5,0,144223,20136,21818.8098,5211.53,31841.2309,12295.0569,13511,74215,0,5734.00605,20673.88,3461,160,2752.8987,70262,13860,247,0,4437,2528,0,2714.6208,0
23817,43386,81881,4620.58,25247,11780,0,0,75758,210799,105082,5488,44577.2,10886.3,123441,174354,0,7103,26660,53848,0,99188,0,18970,9452,47807,68179,20140,0,115966,100237,98855,602.41,7222,21054,21648,49695.5,0,36967,16019,0,7372.25,6353.96,12438.2,0,37250,0,9147.87,19005.4,3086.5,7150,16865.8,69926,18508,2864,14790,8070,2530,0,623.267,0
0,43144,80922,3680.93,9171.5,7850,0,0,48649,134489,98637,19455,36412.76,10781.3426,54728,146288,0,6848,19730,53837,16695,221340,0,0,5928,45414,67974,20372,0,45760,50717,50181,0,3735.5,20997,21835,29615,0,0,11299,0,4253.46,3021.681,12212.8153,0,37299,0,4351.23095,18614.16,3004,0,216.9394,69479,15595,17733.5,0,7293,2621,0,823.0521,0
22643,43161,80953,5069.47,21789.5,10800,2932,8960,76895,202951,148574,13219,44138.94,9906.1242,75018,188788,20377,6752,19160,53821,18204,165226,0,24570,9367,43309,68091,19794,12690,106656,74426,73711,0,3956,20934,21640,48084,0,29249,9015,0,4670.12,17977.345,11450.6541,0,38099,2,4252.1497,13077.96,2944,10210,13460.2861,69128,18575,12940,14820,7942,2280,0,0,0
